key,registration-moment,passenger-email,description,type,indicator,key:assistance-agent,key:leg,draft-mode
# base entity
claim-00,2012/07/02 0:00,"acme@lorem-ipsum.org","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut","FLIGHT_ISSUES",PENDING,assistance-agent-01,leg-11,true
# registrationMoment - standard variations
claim-01,2000/01/01 0:00,"acme@lorem-ipsum.org","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut","FLIGHT_ISSUES",PENDING,assistance-agent-01,leg-11,true
claim-02,2000/01/01 0:01,"acme@lorem-ipsum.org","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut","FLIGHT_ISSUES",PENDING,assistance-agent-01,leg-11,true
claim-03,2024/12/31 23:59,"acme@lorem-ipsum.org","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut","FLIGHT_ISSUES",PENDING,assistance-agent-01,leg-00,true
claim-04,2025/01/01 0:00,"acme@lorem-ipsum.org","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut","FLIGHT_ISSUES",PENDING,assistance-agent-01,leg-00,true
# registrationMoment - no singular values
# passengerEmail - standard variations
claim-05,2012/07/02 0:00,"a@b.e","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","FLIGHT_ISSUES",PENDING,assistance-agent-01,leg-11,true
claim-06,2012/07/02 0:00,"a@b.es","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","FLIGHT_ISSUES",PENDING,assistance-agent-01,leg-11,true
